atom_number,atom_id,atom_name,collection_number,series_number,series_id,series_name,proposed_hero_grade,review_lane,signoff_status,ingest_readiness,dominant_verb_seed,counterforce_type_seed,semantic_neutrality_seed,resolution_class_seed,memory_trace_type_seed,approved_for_navicue,approved_for_journey,approved_for_insight,approved_for_practice,structural_score,triage_tier,heat_fit,navicue_fit,journey_fit,insight_fit,practice_fit,repetition_cluster_size,refinement_priority,refinement_reasons,matching_tags,signoff_notes,manual_hero_grade,manual_override_reason,reviewer,reviewed_at
189,light-source,The Light Source Engine,2,19,mystic-infinite,The Mystic & Infinite Player,playable,composition-pass,seeded,hold,guide,distortion,high,state-morph,transformation,review,review,review,yes,6,composition-sensitive,low-heat,medium,medium,medium,high,59,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple | fit:insight-medium | fit:journey-medium | fit:navicue-medium | fit:practice-high | heat:low-heat | input:drag | job:agency | job:identity | job:perspective | physics:acoustic | physics:optical | resolution:state-morph | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. composition-pass with proposed grade playable. Manual review required before ingest because refinement priority is high.,,,,
190,mystic-seal,The Mystic Seal,2,19,mystic-infinite,The Mystic & Infinite Player,implemented,rebuild-pass,seeded,hold,trace,distortion,high,loop,clarity,no,no,no,no,2,likely-underpowered,low-heat,low,high,high,medium,1,critical,Engine itself is structurally weak for hero use. | No explicit resolution path; wrapper must carry closure.,complexity:simple | fit:insight-high | fit:journey-high | fit:navicue-low | fit:practice-medium | heat:low-heat | input:breath | input:draw | job:agency | job:identity | job:perspective | physics:acoustic | physics:optical | resolution:loop | sensor:breath | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. rebuild-pass with proposed grade implemented. Manual review required before ingest because refinement priority is critical.,,,,
191,prism-return,The Prism Return Engine,2,20,omega-integration,The Omega & Integration,playable,composition-pass,seeded,hold,guide,distortion,high,seal,closure,review,review,review,yes,6,composition-sensitive,low-heat,medium,medium,medium,high,59,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple | fit:insight-medium | fit:journey-medium | fit:navicue-medium | fit:practice-high | heat:low-heat | input:drag | job:focus | job:perspective | job:release | physics:network | physics:optical | resolution:seal | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. composition-pass with proposed grade playable. Manual review required before ingest because refinement priority is high.,,,,
192,golden-spiral,The Golden Spiral Engine,2,20,omega-integration,The Omega & Integration,hero-grade,hero-pass,seeded,curation-ready,reshape,distortion,high,seal,closure,yes,yes,yes,yes,8,hero-candidate,low-heat,high,high,high,high,6,low,,complexity:simple | fit:insight-high | fit:journey-high | fit:navicue-high | fit:practice-high | heat:low-heat | input:drag | input:pinch | job:perspective | job:release | job:temporal | physics:network | physics:optical | resolution:seal | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. hero-pass with proposed grade hero-grade. Ready for manual curation pass.,,,,
193,time-collapse,The Time Collapse Engine,2,20,omega-integration,The Omega & Integration,playable,composition-pass,seeded,hold,hold,entanglement,high,seal,closure,review,review,review,yes,6,composition-sensitive,high-heat,medium,medium,medium,high,5,medium,"Quality likely depends on stronger composition, scale, and payoff.",complexity:simple | fit:insight-medium | fit:journey-medium | fit:navicue-medium | fit:practice-high | heat:high-heat | input:hold | job:perspective | job:release | job:temporal | physics:gravitational | physics:network | physics:temporal | resolution:seal | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. composition-pass with proposed grade playable. Ready for manual curation pass.,,,,
194,mirror-of-truth,The Mirror of Truth Engine,2,20,omega-integration,The Omega & Integration,playable,composition-pass,seeded,hold,guide,distortion,high,seal,closure,review,review,review,yes,6,composition-sensitive,low-heat,medium,medium,medium,high,59,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple | fit:insight-medium | fit:journey-medium | fit:navicue-medium | fit:practice-high | heat:low-heat | input:drag | job:identity | job:perspective | job:release | physics:network | physics:optical | resolution:seal | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. composition-pass with proposed grade playable. Manual review required before ingest because refinement priority is high.,,,,
195,event-horizon,The Event Horizon Engine,2,20,omega-integration,The Omega & Integration,playable,composition-pass,seeded,hold,guide,distortion,high,seal,closure,review,review,review,yes,6,composition-sensitive,low-heat,medium,medium,medium,high,59,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple | fit:insight-medium | fit:journey-medium | fit:navicue-medium | fit:practice-high | heat:low-heat | input:drag | job:perspective | job:release | job:temporal | physics:network | physics:optical | physics:subtractive | resolution:seal | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. composition-pass with proposed grade playable. Manual review required before ingest because refinement priority is high.,,,,
196,alpha-omega,The Alpha Omega Engine,2,20,omega-integration,The Omega & Integration,implemented,composition-pass,seeded,hold,guide,distortion,high,seal,closure,review,yes,yes,yes,5,composition-sensitive,low-heat,medium,high,high,high,3,high,"Quality likely depends on stronger composition, scale, and payoff.",complexity:simple | fit:insight-high | fit:journey-high | fit:navicue-medium | fit:practice-high | heat:low-heat | input:drag | job:boundary | job:perspective | job:transmutation | physics:gravitational | physics:network | physics:optical | resolution:seal | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. composition-pass with proposed grade implemented. Manual review required before ingest because refinement priority is high.,,,,
197,circle-close,The Circle Close Engine,2,20,omega-integration,The Omega & Integration,implemented,composition-pass,seeded,hold,trigger,distortion,high,seal,closure,review,review,review,yes,4,composition-sensitive,low-heat,medium,medium,medium,high,3,high,"Quality likely depends on stronger composition, scale, and payoff.",complexity:simple | fit:insight-medium | fit:journey-medium | fit:navicue-medium | fit:practice-high | heat:low-heat | input:tap | job:connection | job:perspective | job:release | physics:network | physics:optical | resolution:seal | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. composition-pass with proposed grade implemented. Manual review required before ingest because refinement priority is high.,,,,
198,final-exhale,The Final Exhale Engine,2,20,omega-integration,The Omega & Integration,playable,composition-pass,seeded,hold,hold,distortion,high,seal,closure,review,review,review,yes,7,composition-sensitive,high-heat,medium,medium,medium,high,1,medium,"Quality likely depends on stronger composition, scale, and payoff.",complexity:simple | fit:insight-medium | fit:journey-medium | fit:navicue-medium | fit:practice-high | heat:high-heat | input:breath | input:hold | job:perspective | job:regulation | job:release | physics:network | physics:optical | physics:thermal | resolution:seal | sensor:breath | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. composition-pass with proposed grade playable. Ready for manual curation pass.,,,,
199,tail-swallow,The Tail Swallow Engine,2,20,omega-integration,The Omega & Integration,implemented,composition-pass,seeded,hold,trace,distortion,high,seal,closure,review,yes,yes,yes,5,composition-sensitive,low-heat,medium,high,high,high,2,high,"Quality likely depends on stronger composition, scale, and payoff.",complexity:simple | fit:insight-high | fit:journey-high | fit:navicue-medium | fit:practice-high | heat:low-heat | input:draw | job:perspective | job:release | job:temporal | physics:network | physics:optical | resolution:seal | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. composition-pass with proposed grade implemented. Manual review required before ingest because refinement priority is high.,,,,
200,atlas-seal,The Atlas Seal,2,20,omega-integration,The Omega & Integration,implemented,rebuild-pass,seeded,hold,trigger,distortion,high,seal,closure,no,no,no,no,3,likely-underpowered,low-heat,medium,medium,medium,high,1,critical,Engine itself is structurally weak for hero use. | Small hero footprint needs stronger consequence design.,complexity:simple | fit:insight-medium | fit:journey-medium | fit:navicue-medium | fit:practice-high | heat:low-heat | input:tap | job:focus | job:perspective | job:release | physics:network | physics:optical | resolution:seal | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. rebuild-pass with proposed grade implemented. Manual review required before ingest because refinement priority is critical.,,,,
201,theater-lens,The Theater Lens Engine,3,21,metacognitive-mirror,The Metacognitive Mirror,playable,composition-pass,seeded,hold,reshape,distortion,high,field-recompose,reorientation,review,yes,yes,yes,7,composition-sensitive,low-heat,medium,high,high,high,30,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple | fit:insight-high | fit:journey-high | fit:navicue-medium | fit:practice-high | heat:low-heat | input:pinch | job:agency | job:boundary | job:perspective | physics:acoustic | physics:gravitational | physics:optical | resolution:field-recompose | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. composition-pass with proposed grade playable. Manual review required before ingest because refinement priority is high.,,,,
202,focal-glass,The Focal Glass Engine,3,21,metacognitive-mirror,The Metacognitive Mirror,playable,composition-pass,seeded,hold,hold,entanglement,high,field-recompose,reorientation,review,yes,yes,yes,7,composition-sensitive,high-heat,medium,high,high,high,3,medium,"Quality likely depends on stronger composition, scale, and payoff.",complexity:simple | fit:insight-high | fit:journey-high | fit:navicue-medium | fit:practice-high | heat:high-heat | input:hold | job:agency | job:boundary | job:perspective | physics:acoustic | physics:gravitational | physics:network | resolution:field-recompose | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. composition-pass with proposed grade playable. Ready for manual curation pass.,,,,
203,syntactic-severance,The Syntactic Severance Engine,3,21,metacognitive-mirror,The Metacognitive Mirror,playable,composition-pass,seeded,hold,redirect,distortion,high,field-recompose,reorientation,review,review,review,yes,6,composition-sensitive,low-heat,medium,medium,medium,high,35,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple | fit:insight-medium | fit:journey-medium | fit:navicue-medium | fit:practice-high | heat:low-heat | input:swipe | job:boundary | job:identity | job:perspective | physics:acoustic | physics:gravitational | physics:optical | resolution:field-recompose | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. composition-pass with proposed grade playable. Manual review required before ingest because refinement priority is high.,,,,
