number,id,name,collection_number,series_number,series_name,render_mode,default_scale,surfaces,device_requirements,breath_coupling,continuous,has_resolution,structural_score,triage_tier,complexity_band,dominant_inputs,sensory_profile,resolution_profile,therapeutic_jobs,physics_tags,heat_fit,navicue_fit,journey_fit,insight_fit,practice_fit,repetition_cluster_size,refinement_priority,refinement_reasons,matching_tags
245,pendulum-arrest,The Pendulum Arrest Engine,3,25,The Dialectical Engine,canvas,full,holdable,haptics,none,true,true,7,composition-sensitive,simple,hold,visual|touch|haptics,field-recompose,perspective,topological|gravitational|acoustic,high-heat,medium,high,high,high,28,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple|fit:insight-high|fit:journey-high|fit:navicue-medium|fit:practice-high|heat:high-heat|input:hold|job:perspective|physics:acoustic|physics:gravitational|physics:topological|resolution:field-recompose|sensor:haptics|sensor:touch|sensor:visual
246,magnetic-suspension,The Magnetic Suspension Engine,3,25,The Dialectical Engine,canvas,full,draggable,haptics,none,true,true,7,composition-sensitive,simple,drag,visual|touch|haptics,field-recompose,focus|perspective,topological|gravitational|acoustic,low-heat,medium,high,high,high,87,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple|fit:insight-high|fit:journey-high|fit:navicue-medium|fit:practice-high|heat:low-heat|input:drag|job:focus|job:perspective|physics:acoustic|physics:gravitational|physics:topological|resolution:field-recompose|sensor:haptics|sensor:touch|sensor:visual
247,acceptance-change,The Acceptance/Change Engine,3,25,The Dialectical Engine,canvas,full,draggable,haptics,none,true,true,7,composition-sensitive,simple,drag,visual|touch|haptics,field-recompose,perspective,topological|acoustic|optical,low-heat,medium,high,high,high,87,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple|fit:insight-high|fit:journey-high|fit:navicue-medium|fit:practice-high|heat:low-heat|input:drag|job:perspective|physics:acoustic|physics:optical|physics:topological|resolution:field-recompose|sensor:haptics|sensor:touch|sensor:visual
248,mobius-strip,The Mobius Strip Engine,3,25,The Dialectical Engine,webgl,focus,draggable,haptics,none,true,true,5,composition-sensitive,simple,drag,visual|touch|haptics,field-recompose,perspective,topological|optical|acoustic,low-heat,medium,high,high,high,1,high,"Quality likely depends on stronger composition, scale, and payoff.",complexity:simple|fit:insight-high|fit:journey-high|fit:navicue-medium|fit:practice-high|heat:low-heat|input:drag|job:perspective|physics:acoustic|physics:optical|physics:topological|resolution:field-recompose|sensor:haptics|sensor:touch|sensor:visual
249,weight-of-opposites,The Weight of Opposites Engine,3,25,The Dialectical Engine,canvas,focus,draggable,haptics,none,false,true,4,composition-sensitive,simple,drag,visual|touch|haptics,field-recompose,agency|perspective,topological|gravitational|optical,low-heat,medium,medium,medium,high,5,high,"Quality likely depends on stronger composition, scale, and payoff.",complexity:simple|fit:insight-medium|fit:journey-medium|fit:navicue-medium|fit:practice-high|heat:low-heat|input:drag|job:agency|job:perspective|physics:gravitational|physics:optical|physics:topological|resolution:field-recompose|sensor:haptics|sensor:touch|sensor:visual
250,dialectical-seal,The Dialectical Seal,3,25,The Dialectical Engine,canvas,focus,draggable,haptics,modulates,true,true,6,composition-sensitive,simple,drag|breath,visual|touch|breath|haptics,seal,boundary|perspective|regulation,topological|acoustic|fluid,low-heat,medium,high,high,high,2,medium,"Quality likely depends on stronger composition, scale, and payoff.",complexity:simple|fit:insight-high|fit:journey-high|fit:navicue-medium|fit:practice-high|heat:low-heat|input:breath|input:drag|job:boundary|job:perspective|job:regulation|physics:acoustic|physics:fluid|physics:topological|resolution:seal|sensor:breath|sensor:haptics|sensor:touch|sensor:visual
251,matryoshka,The Matryoshka Engine,3,26,The Identity Decoupling,canvas,full,swipeable,haptics,none,false,true,6,composition-sensitive,simple,swipe,visual|touch|haptics,field-recompose,identity|perspective|release,network,broad,medium,medium,medium,high,35,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple|fit:insight-medium|fit:journey-medium|fit:navicue-medium|fit:practice-high|heat:broad|input:swipe|job:identity|job:perspective|job:release|physics:network|resolution:field-recompose|sensor:haptics|sensor:touch|sensor:visual
252,armor-drop,The Armor Drop Engine,3,26,The Identity Decoupling,canvas,full,tappable,haptics,none,false,true,6,composition-sensitive,simple,tap,visual|touch|haptics,field-recompose,release|boundary|identity,gravitational|network,high-heat,medium,medium,medium,high,55,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple|fit:insight-medium|fit:journey-medium|fit:navicue-medium|fit:practice-high|heat:high-heat|input:tap|job:boundary|job:identity|job:release|physics:gravitational|physics:network|resolution:field-recompose|sensor:haptics|sensor:touch|sensor:visual
253,predicate-eraser,The Predicate Eraser Engine,3,26,The Identity Decoupling,canvas,full,drawable,haptics,none,false,true,6,composition-sensitive,simple,draw,visual|touch|haptics,field-recompose,boundary|release|identity,gravitational|network|subtractive,broad,medium,medium,high,high,13,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple|fit:insight-high|fit:journey-medium|fit:navicue-medium|fit:practice-high|heat:broad|input:draw|job:boundary|job:identity|job:release|physics:gravitational|physics:network|physics:subtractive|resolution:field-recompose|sensor:haptics|sensor:touch|sensor:visual
254,costume-closet,The Costume Closet Engine,3,26,The Identity Decoupling,webgl,full,draggable,haptics,none,false,true,6,composition-sensitive,simple,drag,visual|touch|haptics,field-recompose,release|boundary|focus,network,broad,medium,medium,medium,high,1,medium,"Quality likely depends on stronger composition, scale, and payoff.",complexity:simple|fit:insight-medium|fit:journey-medium|fit:navicue-medium|fit:practice-high|heat:broad|input:drag|job:boundary|job:focus|job:release|physics:network|resolution:field-recompose|sensor:haptics|sensor:touch|sensor:visual
255,time-lapse-mirror,The Time-Lapse Mirror Engine,3,26,The Identity Decoupling,webgl,full,scrubable,haptics,none,true,true,7,composition-sensitive,simple,scrub,visual|touch|haptics,state-morph,release|temporal|boundary,network|temporal,low-heat,medium,high,high,high,1,medium,"Quality likely depends on stronger composition, scale, and payoff.",complexity:simple|fit:insight-high|fit:journey-high|fit:navicue-medium|fit:practice-high|heat:low-heat|input:scrub|job:boundary|job:release|job:temporal|physics:network|physics:temporal|resolution:state-morph|sensor:haptics|sensor:touch|sensor:visual
256,resume-burner,The Resume Burner Engine,3,26,The Identity Decoupling,webgl,full,holdable,haptics,none,true,true,7,composition-sensitive,simple,hold,visual|touch|haptics,field-recompose,release|boundary|identity,network,high-heat,medium,high,high,high,3,medium,"Quality likely depends on stronger composition, scale, and payoff.",complexity:simple|fit:insight-high|fit:journey-high|fit:navicue-medium|fit:practice-high|heat:high-heat|input:hold|job:boundary|job:identity|job:release|physics:network|resolution:field-recompose|sensor:haptics|sensor:touch|sensor:visual
257,space-container,The Space Container Engine,3,26,The Identity Decoupling,canvas,full,pinchable,haptics,none,true,true,7,composition-sensitive,simple,pinch,visual|touch|haptics,field-recompose,release|boundary|identity,gravitational|network|optical,low-heat,medium,high,high,high,30,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple|fit:insight-high|fit:journey-high|fit:navicue-medium|fit:practice-high|heat:low-heat|input:pinch|job:boundary|job:identity|job:release|physics:gravitational|physics:network|physics:optical|resolution:field-recompose|sensor:haptics|sensor:touch|sensor:visual
258,nobody,The Nobody Engine,3,26,The Identity Decoupling,canvas,full,scrubable,haptics,none,true,true,7,composition-sensitive,simple,scrub,visual|touch|haptics,state-morph,release|regulation|boundary,network|subtractive,broad,medium,high,medium,high,12,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple|fit:insight-medium|fit:journey-high|fit:navicue-medium|fit:practice-high|heat:broad|input:scrub|job:boundary|job:regulation|job:release|physics:network|physics:subtractive|resolution:state-morph|sensor:haptics|sensor:touch|sensor:visual
259,re-entry,The Re-Entry Engine,3,26,The Identity Decoupling,canvas,full,draggable,haptics,none,false,true,6,composition-sensitive,simple,drag,visual|touch|haptics,field-recompose,identity|release|boundary,gravitational|optical|network,low-heat,medium,medium,medium,high,59,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple|fit:insight-medium|fit:journey-medium|fit:navicue-medium|fit:practice-high|heat:low-heat|input:drag|job:boundary|job:identity|job:release|physics:gravitational|physics:network|physics:optical|resolution:field-recompose|sensor:haptics|sensor:touch|sensor:visual
260,soul-seal,The Soul Seal,3,26,The Identity Decoupling,canvas,point,holdable,haptics,modulates,true,true,5,composition-sensitive,simple,hold|breath,visual|touch|breath|haptics,seal,boundary|release|identity,network|optical|structural,low-heat,medium,high,high,high,2,high,"Quality likely depends on stronger composition, scale, and payoff. | Small hero footprint needs stronger consequence design.",complexity:simple|fit:insight-high|fit:journey-high|fit:navicue-medium|fit:practice-high|heat:low-heat|input:breath|input:hold|job:boundary|job:identity|job:release|physics:network|physics:optical|physics:structural|resolution:seal|sensor:breath|sensor:haptics|sensor:touch|sensor:visual
261,destination-override,The Destination Override Engine,3,27,The Cosmic Play,canvas,full,draggable|scrubable,haptics|audio-output,none,true,true,9,hero-candidate,moderate,scrub|drag,visual|touch|haptics|audio,field-recompose,agency|boundary|focus,acoustic|optical|gravitational,low-heat,signature,medium,high,medium,1,low,,complexity:moderate|fit:insight-high|fit:journey-medium|fit:navicue-signature|fit:practice-medium|heat:low-heat|input:drag|input:scrub|job:agency|job:boundary|job:focus|physics:acoustic|physics:gravitational|physics:optical|resolution:field-recompose|sensor:audio|sensor:haptics|sensor:touch|sensor:visual
262,sand-mandala,The Sand Mandala Engine,3,27,The Cosmic Play,webgl,full,draggable|drawable|voice,haptics|microphone,none,false,true,9,hero-candidate,rich,voice|drag|draw,visual|touch|haptics|microphone,field-recompose,agency|transmutation|focus,optical|acoustic|gravitational,low-heat,signature,low,high,low,1,low,,complexity:rich|fit:insight-high|fit:journey-low|fit:navicue-signature|fit:practice-low|heat:low-heat|input:drag|input:draw|input:voice|job:agency|job:focus|job:transmutation|physics:acoustic|physics:gravitational|physics:optical|resolution:field-recompose|sensor:haptics|sensor:microphone|sensor:touch|sensor:visual
263,toy-box,The Toy Box Engine,3,27,The Cosmic Play,canvas,full,tappable|draggable,haptics,none,false,true,7,composition-sensitive,simple,drag|tap,visual|touch|haptics,field-recompose,agency|focus|identity,gravitational|optical|acoustic,high-heat,medium,low,medium,high,11,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple|fit:insight-medium|fit:journey-low|fit:navicue-medium|fit:practice-high|heat:high-heat|input:drag|input:tap|job:agency|job:focus|job:identity|physics:acoustic|physics:gravitational|physics:optical|resolution:field-recompose|sensor:haptics|sensor:touch|sensor:visual
264,sisyphus-smile,The Sisyphus Smile Engine,3,27,The Cosmic Play,canvas,full,draggable|swipeable,haptics,none,true,true,8,hero-candidate,simple,swipe|drag,visual|touch|haptics,field-recompose,agency|focus|identity,gravitational|optical|acoustic,low-heat,high,medium,high,high,1,low,,complexity:simple|fit:insight-high|fit:journey-medium|fit:navicue-high|fit:practice-high|heat:low-heat|input:drag|input:swipe|job:agency|job:focus|job:identity|physics:acoustic|physics:gravitational|physics:optical|resolution:field-recompose|sensor:haptics|sensor:touch|sensor:visual
265,improvisation,The Improvisation Engine,3,27,The Cosmic Play,canvas,full,draggable,haptics,none,true,true,7,composition-sensitive,simple,drag,visual|touch|haptics,field-recompose,agency|connection|focus,fluid|optical|acoustic,low-heat,medium,medium,high,high,87,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple|fit:insight-high|fit:journey-medium|fit:navicue-medium|fit:practice-high|heat:low-heat|input:drag|job:agency|job:connection|job:focus|physics:acoustic|physics:fluid|physics:optical|resolution:field-recompose|sensor:haptics|sensor:touch|sensor:visual
